llm,metric,category,prompt,average,count,min_score,max_score
llama,avg_prompt2_CL,CL,prompt2,3.905,N/A,N/A,N/A
llama,avg_prompt3_CL,CL,prompt3,4.035,N/A,N/A,N/A
llama,avg_prompt4_CL,CL,prompt4,4.385,N/A,N/A,N/A
llama,avg_prompt5_CL,CL,prompt5,3.785,N/A,N/A,N/A
llama,avg_prompt1_L,L,prompt1,4.035,N/A,N/A,N/A
llama,avg_prompt2_L,L,prompt2,3.955,N/A,N/A,N/A
llama,avg_prompt3_L,L,prompt3,3.68,N/A,N/A,N/A
llama,avg_prompt4_L,L,prompt4,3.67,N/A,N/A,N/A
llama,avg_prompt5_L,L,prompt5,3.0,N/A,N/A,N/A
gpt4o,avg_prompt1_CS,CS,prompt1,4.82,N/A,N/A,N/A
gpt4o,avg_prompt2_CS,CS,prompt2,4.902,N/A,N/A,N/A
gpt4o,avg_prompt3_CS,CS,prompt3,4.84,N/A,N/A,N/A
gpt4o,avg_prompt4_CS,CS,prompt4,4.89,N/A,N/A,N/A
gpt4o,avg_prompt5_CS,CS,prompt5,4.645,N/A,N/A,N/A
gpt4o,avg_prompt1_CL,CL,prompt1,4.78,N/A,N/A,N/A
gpt4o,avg_prompt2_CL,CL,prompt2,4.65,N/A,N/A,N/A
gpt4o,avg_prompt3_CL,CL,prompt3,4.86,N/A,N/A,N/A
gpt4o,avg_prompt4_CL,CL,prompt4,4.9,N/A,N/A,N/A
gpt4o,avg_prompt5_CL,CL,prompt5,4.79,N/A,N/A,N/A
gpt4o,avg_prompt1_L,L,prompt1,4.72,N/A,N/A,N/A
gpt4o,avg_prompt2_L,L,prompt2,4.485,N/A,N/A,N/A
gpt4o,avg_prompt3_L,L,prompt3,4.8,N/A,N/A,N/A
gpt4o,avg_prompt4_L,L,prompt4,4.815,N/A,N/A,N/A
gpt4o,avg_prompt5_L,L,prompt5,4.47,N/A,N/A,N/A
claude,avg_prompt1_CS,CS,prompt1,4.72,N/A,N/A,N/A
claude,avg_prompt2_CS,CS,prompt2,4.445,N/A,N/A,N/A
claude,avg_prompt3_CS,CS,prompt3,4.705,N/A,N/A,N/A
claude,avg_prompt4_CS,CS,prompt4,4.43,N/A,N/A,N/A
claude,avg_prompt5_CS,CS,prompt5,4.455,N/A,N/A,N/A
claude,avg_prompt1_CL,CL,prompt1,4.8,N/A,N/A,N/A
claude,avg_prompt2_CL,CL,prompt2,4.53,N/A,N/A,N/A
claude,avg_prompt3_CL,CL,prompt3,4.655,N/A,N/A,N/A
claude,avg_prompt4_CL,CL,prompt4,4.23,N/A,N/A,N/A
claude,avg_prompt5_CL,CL,prompt5,4.525,N/A,N/A,N/A
claude,avg_prompt1_L,L,prompt1,4.158,N/A,N/A,N/A
claude,avg_prompt2_L,L,prompt2,3.96,N/A,N/A,N/A
claude,avg_prompt3_L,L,prompt3,4.08,N/A,N/A,N/A
claude,avg_prompt4_L,L,prompt4,4.135,N/A,N/A,N/A
claude,avg_prompt5_L,L,prompt5,3.955,N/A,N/A,N/A
deepseek,avg_prompt1_CS,CS,prompt1,4.563,N/A,N/A,N/A
deepseek,avg_prompt2_CS,CS,prompt2,4.415,N/A,N/A,N/A
deepseek,avg_prompt3_CS,CS,prompt3,4.415,N/A,N/A,N/A
deepseek,avg_prompt4_CS,CS,prompt4,4.035,N/A,N/A,N/A
deepseek,avg_prompt5_CS,CS,prompt5,4.305,N/A,N/A,N/A
deepseek,avg_prompt1_CL,CL,prompt1,4.36,N/A,N/A,N/A
deepseek,avg_prompt2_CL,CL,prompt2,4.27,N/A,N/A,N/A
deepseek,avg_prompt3_CL,CL,prompt3,4.47,N/A,N/A,N/A
deepseek,avg_prompt4_CL,CL,prompt4,4.17,N/A,N/A,N/A
deepseek,avg_prompt5_CL,CL,prompt5,4.14,N/A,N/A,N/A
deepseek,avg_prompt1_L,L,prompt1,4.445,N/A,N/A,N/A
deepseek,avg_prompt2_L,L,prompt2,4.135,N/A,N/A,N/A
deepseek,avg_prompt3_L,L,prompt3,4.47,N/A,N/A,N/A
deepseek,avg_prompt4_L,L,prompt4,3.925,N/A,N/A,N/A
deepseek,avg_prompt5_L,L,prompt5,3.99,N/A,N/A,N/A
